name,team,season,count
Jordy Clasie,southampton-fc,2017,1
Steven Davis,southampton-fc,2017,1
 Oriol Romeu,southampton-fc,2017,1
Nathan Redmond,southampton-fc,2017,1
Charlie Austin,southampton-fc,2017,1
DuÅ¡an TadiÄ,southampton-fc,2017,1
Willy Caballero,manchester-city,2017,1
Bacary Sagna,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
 JesÃºs Navas,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Yaya TourÃ©,manchester-city,2017,1
Kun AgÃ¼ero,manchester-city,2017,1
Leroy SanÃ©,manchester-city,2017,1
Lee Grant,stoke-city,2017,1
Phil Bardsley,stoke-city,2017,1
Erik Pieters,stoke-city,2017,1
Bruno Martins Indi,stoke-city,2017,1
Ryan Shawcross,stoke-city,2017,1
Geoff Cameron,stoke-city,2017,1
Joe Allen,stoke-city,2017,1
Ramadan Sobhi,stoke-city,2017,1
Saido Berahino,stoke-city,2017,1
Mame Diouf,stoke-city,2017,1
Jon Walters,stoke-city,2017,1
Willy Caballero,manchester-city,2017,1
Bacary Sagna,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
John Stones,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
 Nolito,manchester-city,2017,1
Kun AgÃ¼ero,manchester-city,2017,1
Vito Mannone,sunderland-afc,2017,1
Patrick van Aanholt,sunderland-afc,2017,1
YounÃ¨s Kaboul,sunderland-afc,2017,1
John O'Shea,sunderland-afc,2017,1
Donald Love,sunderland-afc,2017,1
Lamine KonÃ©,sunderland-afc,2017,1
Jack Rodwell,sunderland-afc,2017,1
Lynden Gooch,sunderland-afc,2017,1
Fabio Borini,sunderland-afc,2017,1
Duncan Watmore,sunderland-afc,2017,1
Jermain Defoe,sunderland-afc,2017,1
Willy Caballero,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
John Stones,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Yaya TourÃ©,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
Leroy SanÃ©,manchester-city,2017,1
 Gabriel Jesus,manchester-city,2017,1
Åukasz FabiaÅski,swansea-city,2017,1
Alfie Mawson,swansea-city,2017,1
Martin Olsson,swansea-city,2017,1
Kyle Naughton,swansea-city,2017,1
Federico FernÃ¡ndez,swansea-city,2017,1
Leroy Fer,swansea-city,2017,1
Gylfi SigurÃ°sson,swansea-city,2017,1
Jack Cork,swansea-city,2017,1
Tom Carroll,swansea-city,2017,1
 Llorente,swansea-city,2017,1
Wayne Routledge,swansea-city,2017,1
Claudio Bravo,manchester-city,2017,1
Pablo Zabaleta,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
Yaya TourÃ©,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
Kun AgÃ¼ero,manchester-city,2017,1
Leroy SanÃ©,manchester-city,2017,1
Hugo Lloris,tottenham-hotspur,2017,1
Kyle Walker,tottenham-hotspur,2017,1
Danny Rose,tottenham-hotspur,2017,1
Toby Alderweireld,tottenham-hotspur,2017,1
Kevin Wimmer,tottenham-hotspur,2017,1
Victor Wanyama,tottenham-hotspur,2017,1
Eric Dier,tottenham-hotspur,2017,1
Mousa DembÃ©lÃ©,tottenham-hotspur,2017,1
Dele Alli,tottenham-hotspur,2017,1
Christian Eriksen,tottenham-hotspur,2017,1
Harry Kane,tottenham-hotspur,2017,1
Claudio Bravo,manchester-city,2017,1
Pablo Zabaleta,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
Ä°lkay GÃ¼ndoÄan,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
Yaya TourÃ©,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
 Nolito,manchester-city,2017,1
 Gomes,watford-fc,2017,1
Miguel Britos,watford-fc,2017,1
Sebastian PrÃ¶dl,watford-fc,2017,1
Daryl Janmaat,watford-fc,2017,1
JosÃ© Holebas,watford-fc,2017,1
AdlÃ¨ne GuÃ©dioura,watford-fc,2017,1
Ãtienne Capoue,watford-fc,2017,1
Roberto Pereyra,watford-fc,2017,1
Nordin Amrabat,watford-fc,2017,1
Jerome Sinclair,watford-fc,2017,1
Odion Ighalo,watford-fc,2017,1
Willy Caballero,manchester-city,2017,1
Vincent Kompany,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Yaya TourÃ©,manchester-city,2017,1
Kun AgÃ¼ero,manchester-city,2017,1
Leroy SanÃ©,manchester-city,2017,1
 Gabriel Jesus,manchester-city,2017,1
Ben Foster,west-bromwich-albion,2017,1
Allan Nyom,west-bromwich-albion,2017,1
Jonny Evans,west-bromwich-albion,2017,1
Marc Wilson,west-bromwich-albion,2017,1
Craig Dawson,west-bromwich-albion,2017,1
Claudio Yacob,west-bromwich-albion,2017,1
Jake Livermore,west-bromwich-albion,2017,1
Chris Brunt,west-bromwich-albion,2017,1
Darren Fletcher,west-bromwich-albion,2017,1
SalomÃ³n RondÃ³n,west-bromwich-albion,2017,1
Nacer Chadli,west-bromwich-albion,2017,1
Willy Caballero,manchester-city,2017,1
Pablo Zabaleta,manchester-city,2017,1
GaÃ«l Clichy,manchester-city,2017,1
John Stones,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
 Nolito,manchester-city,2017,1
Kun AgÃ¼ero,manchester-city,2017,1
 AdriÃ¡n,west-ham-united,2017,1
Winston Reid,west-ham-united,2017,1
James Collins,west-ham-united,2017,1
Angelo Ogbonna,west-ham-united,2017,1
Arthur Masuaku,west-ham-united,2017,1
Cheikhou KouyatÃ©,west-ham-united,2017,1
Mark Noble,west-ham-united,2017,1
GÃ¶khan TÃ¶re,west-ham-united,2017,1
Michail Antonio,west-ham-united,2017,1
Enner Valencia,west-ham-united,2017,1
Ashley Fletcher,west-ham-united,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Luke Shaw,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Wayne Rooney,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Artur Boruc,afc-bournemouth,2017,1
Steve Cook,afc-bournemouth,2017,1
Charlie Daniels,afc-bournemouth,2017,1
Adam Smith,afc-bournemouth,2017,1
Tyrone Mings,afc-bournemouth,2017,1
Andrew Surman,afc-bournemouth,2017,1
Marc Pugh,afc-bournemouth,2017,1
Harry Arter,afc-bournemouth,2017,1
Ryan Fraser,afc-bournemouth,2017,1
Benik Afobe,afc-bournemouth,2017,1
Joshua King,afc-bournemouth,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Petr Äech,arsenal-fc,2017,1
Laurent Koscielny,arsenal-fc,2017,1
 Nacho Monreal,arsenal-fc,2017,1
Shkodran Mustafi,arsenal-fc,2017,1
Carl Jenkinson,arsenal-fc,2017,1
Aaron Ramsey,arsenal-fc,2017,1
Mesut Ãzil,arsenal-fc,2017,1
Francis Coquelin,arsenal-fc,2017,1
Mohamed El Neny,arsenal-fc,2017,1
Alexis SÃ¡nchez,arsenal-fc,2017,1
Theo Walcott,arsenal-fc,2017,1
 De Gea,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Luke Shaw,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Tom Heaton,burnley-fc,2017,1
Matthew Lowton,burnley-fc,2017,1
Michael Keane,burnley-fc,2017,1
Ben Mee,burnley-fc,2017,1
Stephen Ward,burnley-fc,2017,1
Dean Marney,burnley-fc,2017,1
Jeff Hendrick,burnley-fc,2017,1
JÃ³hann GuÃ°mundsson,burnley-fc,2017,1
Scott Arfield,burnley-fc,2017,1
Andre Gray,burnley-fc,2017,1
Sam Vokes,burnley-fc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Ashley Young,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Asmir BegoviÄ,chelsea-fc,2017,1
Kurt Zouma,chelsea-fc,2017,1
Gary Cahill,chelsea-fc,2017,1
 Azpilicueta,chelsea-fc,2017,1
 David Luiz,chelsea-fc,2017,1
N'Golo KantÃ©,chelsea-fc,2017,1
Victor Moses,chelsea-fc,2017,1
Nemanja MatiÄ,chelsea-fc,2017,1
Eden Hazard,chelsea-fc,2017,1
 Pedro,chelsea-fc,2017,1
 Diego Costa,chelsea-fc,2017,1
 Joel Pereira,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Timothy Fosu-Mensah,manchester-united,2017,1
Demetri Mitchell,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Axel Tuanzebe,manchester-united,2017,1
Scott McTominay,manchester-united,2017,1
Josh Harrop,manchester-united,2017,1
Wayne Rooney,manchester-united,2017,1
Wayne Hennessey,crystal-palace,2017,1
Joel Ward,crystal-palace,2017,1
Patrick van Aanholt,crystal-palace,2017,1
James Tomkins,crystal-palace,2017,1
Jeffrey Schlupp,crystal-palace,2017,1
Martin Kelly,crystal-palace,2017,1
James McArthur,crystal-palace,2017,1
Luka MilivojeviÄ,crystal-palace,2017,1
Jason Puncheon,crystal-palace,2017,1
Wilfried Zaha,crystal-palace,2017,1
Christian Benteke,crystal-palace,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
Ashley Young,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
 Joel,everton-fc,2017,1
Leighton Baines,everton-fc,2017,1
Ashley Williams,everton-fc,2017,1
Phil Jagielka,everton-fc,2017,1
Mason Holgate,everton-fc,2017,1
Ross Barkley,everton-fc,2017,1
Idrissa Gueye,everton-fc,2017,1
Gareth Barry,everton-fc,2017,1
Tom Davies,everton-fc,2017,1
Romelu Lukaku,everton-fc,2017,1
Kevin Mirallas,everton-fc,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Eldin JakupoviÄ,hull-city,2017,1
Andrew Robertson,hull-city,2017,1
Harry Maguire,hull-city,2017,1
Michael Dawson,hull-city,2017,1
Josh Tymon,hull-city,2017,1
David Meyler,hull-city,2017,1
Tom Huddlestone,hull-city,2017,1
Sam Clucas,hull-city,2017,1
 Evandro,hull-city,2017,1
Lazar MarkoviÄ,hull-city,2017,1
Oumar Niasse,hull-city,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Chris Smalling,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Ron-Robert Zieler,leicester-city,2017,1
Wes Morgan,leicester-city,2017,1
Robert Huth,leicester-city,2017,1
Daniel Amartey,leicester-city,2017,1
Danny Simpson,leicester-city,2017,1
Christian Fuchs,leicester-city,2017,1
Danny Drinkwater,leicester-city,2017,1
Marc Albrighton,leicester-city,2017,1
Riyad Mahrez,leicester-city,2017,1
Jamie Vardy,leicester-city,2017,1
Islam Slimani,leicester-city,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Simon Mignolet,liverpool-fc,2017,1
Dejan Lovren,liverpool-fc,2017,1
James Milner,liverpool-fc,2017,1
Ragnar Klavan,liverpool-fc,2017,1
Trent Alexander-Arnold,liverpool-fc,2017,1
Georginio Wijnaldum,liverpool-fc,2017,1
Jordan Henderson,liverpool-fc,2017,1
Adam Lallana,liverpool-fc,2017,1
Emre Can,liverpool-fc,2017,1
 Roberto Firmino,liverpool-fc,2017,1
Divock Origi,liverpool-fc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Luke Shaw,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Wayne Rooney,manchester-united,2017,1
Claudio Bravo,manchester-city,2017,1
Bacary Sagna,manchester-city,2017,1
Aleksandar Kolarov,manchester-city,2017,1
John Stones,manchester-city,2017,1
NicolÃ¡s Otamendi,manchester-city,2017,1
Kevin De Bruyne,manchester-city,2017,1
 David Silva,manchester-city,2017,1
 Fernandinho,manchester-city,2017,1
Raheem Sterling,manchester-city,2017,1
 Nolito,manchester-city,2017,1
Kelechi Iheanacho,manchester-city,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Chris Smalling,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
 VÃ­ctor ValdÃ©s,middlesbrough-fc,2017,1
George Friend,middlesbrough-fc,2017,1
Bernardo Espinosa,middlesbrough-fc,2017,1
Ben Gibson,middlesbrough-fc,2017,1
Calum Chambers,middlesbrough-fc,2017,1
Grant Leadbitter,middlesbrough-fc,2017,1
Marten de Roon,middlesbrough-fc,2017,1
Stewart Downing,middlesbrough-fc,2017,1
Adam Forshaw,middlesbrough-fc,2017,1
 Ãlvaro Negredo,middlesbrough-fc,2017,1
Adama TraorÃ©,middlesbrough-fc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Luke Shaw,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Wayne Rooney,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Fraser Forster,southampton-fc,2017,1
 CÃ©dric Soares,southampton-fc,2017,1
 JosÃ© Fonte,southampton-fc,2017,1
Virgil van Dijk,southampton-fc,2017,1
Matt Targett,southampton-fc,2017,1
Steven Davis,southampton-fc,2017,1
 Oriol Romeu,southampton-fc,2017,1
Nathan Redmond,southampton-fc,2017,1
Pierre-Emile HÃ¸jbjerg,southampton-fc,2017,1
Shane Long,southampton-fc,2017,1
DuÅ¡an TadiÄ,southampton-fc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Chris Smalling,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Lee Grant,stoke-city,2017,1
Erik Pieters,stoke-city,2017,1
Glen Johnson,stoke-city,2017,1
Bruno Martins Indi,stoke-city,2017,1
Ryan Shawcross,stoke-city,2017,1
Geoff Cameron,stoke-city,2017,1
Joe Allen,stoke-city,2017,1
Glenn Whelan,stoke-city,2017,1
Xherdan Shaqiri,stoke-city,2017,1
Marko ArnautoviÄ,stoke-city,2017,1
Wilfried Bony,stoke-city,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Jordan Pickford,sunderland-afc,2017,1
Billy Jones,sunderland-afc,2017,1
Patrick van Aanholt,sunderland-afc,2017,1
Jason Denayer,sunderland-afc,2017,1
Papy Djilobodji,sunderland-afc,2017,1
Lamine KonÃ©,sunderland-afc,2017,1
Sebastian Larsson,sunderland-afc,2017,1
Didier Ndong,sunderland-afc,2017,1
Fabio Borini,sunderland-afc,2017,1
Jermain Defoe,sunderland-afc,2017,1
Victor Anichebe,sunderland-afc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Luke Shaw,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
Ashley Young,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Wayne Rooney,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Åukasz FabiaÅski,swansea-city,2017,1
Alfie Mawson,swansea-city,2017,1
Kyle Naughton,swansea-city,2017,1
Federico FernÃ¡ndez,swansea-city,2017,1
Stephen Kingsley,swansea-city,2017,1
Sung-yueng Ki,swansea-city,2017,1
Leon Britton,swansea-city,2017,1
Gylfi SigurÃ°sson,swansea-city,2017,1
Tom Carroll,swansea-city,2017,1
Jordan Ayew,swansea-city,2017,1
 Llorente,swansea-city,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Hugo Lloris,tottenham-hotspur,2017,1
Kyle Walker,tottenham-hotspur,2017,1
Danny Rose,tottenham-hotspur,2017,1
Toby Alderweireld,tottenham-hotspur,2017,1
Jan Vertonghen,tottenham-hotspur,2017,1
Victor Wanyama,tottenham-hotspur,2017,1
Mousa DembÃ©lÃ©,tottenham-hotspur,2017,1
Dele Alli,tottenham-hotspur,2017,1
Christian Eriksen,tottenham-hotspur,2017,1
Heung-min Son,tottenham-hotspur,2017,1
Harry Kane,tottenham-hotspur,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Chris Smalling,manchester-united,2017,1
Daley Blind,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
 Gomes,watford-fc,2017,1
Miguel Britos,watford-fc,2017,1
YounÃ¨s Kaboul,watford-fc,2017,1
Sebastian PrÃ¶dl,watford-fc,2017,1
Craig Cathcart,watford-fc,2017,1
JosÃ© Holebas,watford-fc,2017,1
Tom Cleverley,watford-fc,2017,1
Ãtienne Capoue,watford-fc,2017,1
Troy Deeney,watford-fc,2017,1
Mauro ZÃ¡rate,watford-fc,2017,1
M'Baye Niang,watford-fc,2017,1
 De Gea,manchester-united,2017,1
Eric Bailly,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
Michael Carrick,manchester-united,2017,1
Ashley Young,manchester-united,2017,1
Henrikh Mkhitaryan,manchester-united,2017,1
Marouane Fellaini,manchester-united,2017,1
Anthony Martial,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Ben Foster,west-bromwich-albion,2017,1
Allan Nyom,west-bromwich-albion,2017,1
Jonny Evans,west-bromwich-albion,2017,1
Gareth McAuley,west-bromwich-albion,2017,1
Craig Dawson,west-bromwich-albion,2017,1
Jake Livermore,west-bromwich-albion,2017,1
Chris Brunt,west-bromwich-albion,2017,1
Darren Fletcher,west-bromwich-albion,2017,1
Hal Robson-Kanu,west-bromwich-albion,2017,1
James McClean,west-bromwich-albion,2017,1
Nacer Chadli,west-bromwich-albion,2017,1
 De Gea,manchester-united,2017,1
Phil Jones,manchester-united,2017,1
Marcos Rojo,manchester-united,2017,1
Antonio Valencia,manchester-united,2017,1
Matteo Darmian,manchester-united,2017,1
Paul Pogba,manchester-united,2017,1
 Mata,manchester-united,2017,1
Jesse Lingard,manchester-united,2017,1
 Ander Herrera,manchester-united,2017,1
Zlatan IbrahimoviÄ,manchester-united,2017,1
Marcus Rashford,manchester-united,2017,1
Darren Randolph,west-ham-united,2017,1
Aaron Cresswell,west-ham-united,2017,1
James Collins,west-ham-united,2017,1
Angelo Ogbonna,west-ham-united,2017,1
Cheikhou KouyatÃ©,west-ham-united,2017,1
Manuel Lanzini,west-ham-united,2017,1
 Pedro Obiang,west-ham-united,2017,1
Mark Noble,west-ham-united,2017,1
Dimitri Payet,west-ham-united,2017,1
Michail Antonio,west-ham-united,2017,1
Diafra Sakho,west-ham-united,2017,1
 VÃ­ctor ValdÃ©s,middlesbrough-fc,2017,1
George Friend,middlesbrough-fc,2017,1
Ben Gibson,middlesbrough-fc,2017,1
 BarragÃ¡n,middlesbrough-fc,2017,1
Calum Chambers,middlesbrough-fc,2017,1
Adam Clayton,middlesbrough-fc,2017,1
Stewart Downing,middlesbrough-fc,2017,1
GastÃ³n RamÃ­rez,middlesbrough-fc,2017,1
Adam Forshaw,middlesbrough-fc,2017,1
 Ãlvaro Negredo,middlesbrough-fc,2017,1
Adama TraorÃ©,middlesbrough-fc,2017,1
Artur Boruc,afc-bournemouth,2017,1
Simon Francis,afc-bournemouth,2017,1
Steve Cook,afc-bournemouth,2017,1
Charlie Daniels,afc-bournemouth,2017,1
Adam Smith,afc-bournemouth,2017,1
Andrew Surman,afc-bournemouth,2017,1
Harry Arter,afc-bournemouth,2017,1
Jack Wilshere,afc-bournemouth,2017,1
Callum Wilson,afc-bournemouth,2017,1
Joshua King,afc-bournemouth,2017,1
Jordon Ibe,afc-bournemouth,2017,1
Brad Guzan,middlesbrough-fc,2017,1
 FÃ¡bio,middlesbrough-fc,2017,1
 Daniel Ayala,middlesbrough-fc,2017,1
Ben Gibson,middlesbrough-fc,2017,1
 BarragÃ¡n,middlesbrough-fc,2017,1
Grant Leadbitter,middlesbrough-fc,2017,1
Adam Clayton,middlesbrough-fc,2017,1
Marten de Roon,middlesbrough-fc,2017,1
Stewart Downing,middlesbrough-fc,2017,1
GastÃ³n RamÃ­rez,middlesbrough-fc,2017,1
 Ãlvaro Negredo,middlesbrough-fc,2017,1
Petr Äech,arsenal-fc,2017,1
 Gabriel Paulista,arsenal-fc,2017,1
Laurent Koscielny,arsenal-fc,2017,1
Rob Holding,arsenal-fc,2017,1
 Nacho Monreal,arsenal-fc,2017,1
Aaron Ramsey,arsenal-fc,2017,1
Mesut Ãzil,arsenal-fc,2017,1
Granit Xhaka,arsenal-fc,2017,1
Alexis SÃ¡nchez,arsenal-fc,2017,1
Olivier Giroud,arsenal-fc,2017,1
Alex Oxlade-Chamberlain,arsenal-fc,2017,1
 VÃ­ctor ValdÃ©s,middlesbrough-fc,2017,1
 Daniel Ayala,middlesbrough-fc,2017,1
Bernardo Espinosa,middlesbrough-fc,2017,1
Ben Gibson,middlesbrough-fc,2017,1
 BarragÃ¡n,middlesbrough-fc,2017,1
Grant Leadbitter,middlesbrough-fc,2017,1
Adam Clayton,middlesbrough-fc,2017,1
Stewart Downing,middlesbrough-fc,2017,1
Adam Forshaw,middlesbrough-fc,2017,1
Cristhian Stuani,middlesbrough-fc,2017,1
Rudy Gestede,middlesbrough-fc,2017,1
Tom Heaton,burnley-fc,2017,1
Matthew Lowton,burnley-fc,2017,1
Michael Keane,burnley-fc,2017,1
Ben Mee,burnley-fc,2017,1
Stephen Ward,burnley-fc,2017,1
Robbie Brady,burnley-fc,2017,1
Jeff Hendrick,burnley-fc,2017,1
Joey Barton,burnley-fc,2017,1
Andre Gray,burnley-fc,2017,1
Ashley Barnes,burnley-fc,2017,1
George Boyd,burnley-fc,2017,1
 VÃ­ctor ValdÃ©s,middlesbrough-fc,2017,1
 FÃ¡bio,middlesbrough-fc,2017,1
Ben Gibson,middlesbrough-fc,2017,1
 BarragÃ¡n,middlesbrough-fc,2017,1
Calum Chambers,middlesbrough-fc,2017,1
Adam Clayton,middlesbrough-fc,2017,1
Marten de Roon,middlesbrough-fc,2017,1
GastÃ³n RamÃ­rez,middlesbrough-fc,2017,1
Adam Forshaw,middlesbrough-fc,2017,1
 Ãlvaro Negredo,middlesbrough-fc,2017,1
Adama TraorÃ©,middlesbrough-fc,2017,1
Thibaut Courtois,chelsea-fc,2017,1
 Marcos Alonso,chelsea-fc,2017,1
